Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	  0,0098	0	     180	0	       0	
0,25	  0,0595	0,25	  -144,5	0,25	     0,7	
0,5	  0,0355	0,5	  -3,724	0,5	     0,4	
0,75	  0,0192	0,75	  -30,32	0,75	     0,7	
1	 0,00957	1	  -36,91	1	     0,4	
1,25	 0,00914	1,25	  -71,47	1,25	     0,5	
1,5	 0,00196	1,5	  -40,31	1,5	       0	
1,75	 0,00426	1,75	  -31,32	1,75	     0,2	
2	  0,0042	2	   -56,5	2	     0,3	
2,25	 0,00218	2,25	  -72,41	2,25	     0,2	
2,5	 0,00199	2,5	  -115,2	2,5	     0,1	
2,75	 0,00375	2,75	   132,2	2,75	     0,3	
3	   0,005	3	   59,02	3	     0,3	
3,25	 0,00171	3,25	   66,56	3,25	     0,1	
3,5	 0,00417	3,5	   101,9	3,5	     0,5	
3,75	 0,00929	3,75	   87,06	3,75	     0,8	
4	  0,0109	4	    22,9	4	     0,8	
4,25	 0,00663	4,25	   22,95	4,25	     0,7	
4,5	 0,00943	4,5	   38,31	4,5	     0,9	
4,75	  0,0114	4,75	   12,98	4,75	     0,9	
5	 0,00933	5	  -9,005	5	     0,9	
5,25	  0,0092	5,25	   -6,73	5,25	     0,9	
5,5	  0,0091	5,5	  -7,419	5,5	     0,9	
5,75	  0,0094	5,75	  -13,12	5,75	       1	
6	 0,00941	6	  -14,49	6	       1	
6,25	 0,00979	6,25	  -10,25	6,25	     0,9	
6,5	 0,00985	6,5	  -17,37	6,5	     0,9	
6,75	  0,0107	6,75	  -18,53	6,75	     0,9	
7	  0,0107	7	  -27,06	7	       1	
7,25	 0,00996	7,25	  -28,95	7,25	       1	
7,5	  0,0124	7,5	  -23,85	7,5	       1	
7,75	  0,0138	7,75	  -36,07	7,75	       1	
8	  0,0144	8	   -44,5	8	       1	
8,25	  0,0156	8,25	  -46,53	8,25	       1	
8,5	  0,0174	8,5	  -56,93	8,5	       1	
8,75	  0,0186	8,75	  -69,46	8,75	       1	
9	  0,0186	9	  -88,27	9	       1	
9,25	  0,0136	9,25	  -95,36	9,25	       1	
9,5	  0,0127	9,5	  -92,03	9,5	       1	
9,75	   0,013	9,75	  -97,39	9,75	       1	
10	  0,0123	10	  -95,74	10	       1	
10,25	  0,0139	10,25	  -95,38	10,25	       1	
10,5	  0,0151	10,5	  -101,5	10,5	       1	
10,75	  0,0164	10,75	  -109,2	10,75	       1	
11	  0,0163	11	  -117,5	11	       1	
11,25	  0,0167	11,25	  -130,2	11,25	       1	
11,5	  0,0147	11,5	  -137,6	11,5	       1	
11,75	  0,0153	11,75	  -142,3	11,75	       1	
12	  0,0147	12	  -144,9	12	       1	
12,25	   0,015	12,25	  -151,6	12,25	       1	
12,5	  0,0158	12,5	  -157,5	12,5	       1	
12,75	  0,0168	12,75	    -169	12,75	     0,9	
13	  0,0165	13	   177,5	13	     0,9	
13,25	   0,015	13,25	     165	13,25	     0,9	
13,5	  0,0136	13,5	   152,5	13,5	       1	
13,75	  0,0121	13,75	   147,7	13,75	     0,9	
14	  0,0101	14	   139,6	14	     0,9	
14,25	 0,00891	14,25	     136	14,25	     0,9	
14,5	 0,00804	14,5	   135,5	14,5	     0,9	
14,75	 0,00743	14,75	   132,4	14,75	     0,9	
15	 0,00858	15	     127	15	     0,9	
15,25	 0,00865	15,25	   113,5	15,25	     0,9	
15,5	 0,00872	15,5	   99,01	15,5	     0,8	
15,75	 0,00764	15,75	    75,2	15,75	     0,8	
16	 0,00468	16	   54,99	16	     0,6	
16,25	 0,00263	16,25	   36,46	16,25	     0,5	
16,5	0,000826	16,5	   21,85	16,5	     0,1	
16,75	 0,00144	16,75	  -177,8	16,75	     0,3	
17	 0,00274	17	   160,5	17	     0,9	
17,25	 0,00344	17,25	   145,1	17,25	     0,7	
17,5	 0,00411	17,5	   123,5	17,5	     0,9	
17,75	 0,00482	17,75	   110,3	17,75	     0,8	
18	 0,00478	18	   94,89	18	     0,8	
18,25	 0,00456	18,25	   87,84	18,25	     0,8	
18,5	 0,00421	18,5	   72,57	18,5	     0,7	
18,75	 0,00379	18,75	   64,29	18,75	     0,8	
19	 0,00301	19	   42,99	19	     0,7	
19,25	 0,00214	19,25	   54,18	19,25	     0,6	
19,5	 0,00224	19,5	   60,91	19,5	     0,7	
19,75	 0,00223	19,75	   59,07	19,75	     0,5	
20	 0,00215	20	   56,76	20	     0,5	
20,25	 0,00185	20,25	   59,79	20,25	     0,5	
20,5	 0,00239	20,5	   78,69	20,5	     0,6	
