Frequency (Hz) - Wvfm 0->Plot 0	Magnitude (response/impact) - Wvfm 0->Plot 0	Frequency (Hz) - Wvfm 1->Plot 0	Phase (deg) - Wvfm 1->Plot 0	Frequency (Hz) - Wvfm 2->Plot 0	Coherence - Wvfm 2->Plot 0	
0	   0,443	0	       0	0	     0,1	
0,25	  0,0351	0,25	  -15,22	0,25	       0	
0,5	 0,00451	0,5	  -50,16	0,5	       0	
0,75	 0,00965	0,75	  -36,05	0,75	       0	
1	 0,00654	1	  -19,46	1	       0	
1,25	  0,0216	1,25	  -1,406	1,25	     0,2	
1,5	  0,0424	1,5	    -128	1,5	     0,5	
1,75	  0,0172	1,75	  -137,2	1,75	     0,3	
2	  0,0145	2	  -136,6	2	     0,3	
2,25	  0,0142	2,25	  -145,2	2,25	     0,3	
2,5	  0,0168	2,5	  -149,9	2,5	     0,4	
2,75	    0,02	2,75	  -161,8	2,75	     0,5	
3	  0,0264	3	  -172,2	3	     0,7	
3,25	  0,0352	3,25	   175,3	3,25	     0,8	
3,5	  0,0524	3,5	   158,9	3,5	     0,9	
3,75	  0,0921	3,75	   126,6	3,75	       1	
4	  0,0681	4	   35,66	4	     0,9	
4,25	  0,0332	4,25	   57,05	4,25	     0,9	
4,5	  0,0377	4,5	   52,97	4,5	     0,9	
4,75	  0,0396	4,75	   27,13	4,75	     0,9	
5	  0,0273	5	   11,96	5	     0,9	
5,25	  0,0226	5,25	   12,25	5,25	     0,8	
5,5	  0,0195	5,5	   11,07	5,5	     0,8	
5,75	  0,0185	5,75	   11,72	5,75	     0,8	
6	  0,0182	6	   11,82	6	     0,8	
6,25	  0,0191	6,25	   9,506	6,25	     0,8	
6,5	  0,0173	6,5	   6,429	6,5	     0,8	
6,75	  0,0177	6,75	    10,2	6,75	     0,9	
7	  0,0212	7	   10,64	7	     0,9	
7,25	  0,0229	7,25	    -6,1	7,25	     0,9	
7,5	  0,0193	7,5	  -8,734	7,5	     0,9	
7,75	  0,0178	7,75	  -8,292	7,75	     0,9	
8	  0,0172	8	  -0,315	8	     0,9	
8,25	  0,0216	8,25	   6,445	8,25	     0,9	
8,5	   0,028	8,5	 -0,3744	8,5	       1	
8,75	  0,0307	8,75	  -12,65	8,75	       1	
9	   0,032	9	  -23,98	9	       1	
9,25	  0,0292	9,25	   -32,6	9,25	       1	
9,5	  0,0279	9,5	  -33,57	9,5	       1	
9,75	  0,0282	9,75	  -30,98	9,75	       1	
10	  0,0326	10	  -34,23	10	       1	
10,25	  0,0346	10,25	  -43,57	10,25	       1	
10,5	  0,0334	10,5	  -46,89	10,5	       1	
